Year,DOY,Hour,Kp
2022,1,0,23
2022,2,0,20
2022,3,0,23
2022,4,0,10
2022,5,0,7
2022,6,0,0
2022,7,0,0
2022,8,0,17
2022,9,0,20
2022,10,0,13
2022,11,0,10
2022,12,0,7
2022,13,0,3
2022,14,0,20
2022,15,0,33
2022,16,0,30
2022,17,0,20
2022,18,0,30
2022,19,0,33
2022,20,0,7
2022,21,0,17
2022,22,0,23
2022,23,0,17
2022,24,0,7
2022,25,0,27
2022,26,0,23
2022,27,0,17
2022,28,0,17
2022,29,0,27
2022,30,0,23
2022,31,0,23
2022,32,0,13
2022,33,0,20
2022,34,0,37
2022,35,0,43
2022,36,0,27
2022,37,0,27
2022,38,0,17
2022,39,0,10
2022,40,0,3
2022,41,0,33
2022,42,0,33
2022,43,0,27
2022,44,0,30
2022,45,0,17
2022,46,0,10
2022,47,0,20
2022,48,0,10
2022,49,0,13
2022,50,0,20
2022,51,0,23
2022,52,0,23
2022,53,0,27
2022,54,0,17
2022,55,0,13
2022,56,0,17
2022,57,0,0
2022,58,0,23
2022,59,0,17
2022,60,0,20
2022,61,0,7
2022,62,0,10
2022,63,0,23
2022,64,0,37
2022,65,0,30
2022,66,0,20
2022,67,0,13
2022,68,0,10
2022,69,0,17
2022,70,0,33
2022,71,0,20
2022,72,0,37
2022,73,0,20
2022,74,0,13
2022,75,0,13
2022,76,0,13
2022,77,0,7
2022,78,0,10
2022,79,0,17
2022,80,0,7
2022,81,0,20
2022,82,0,17
2022,83,0,23
2022,84,0,20
2022,85,0,13
2022,86,0,30
2022,87,0,17
2022,88,0,20
2022,89,0,13
2022,90,0,37
2022,91,0,30
2022,92,0,33
2022,93,0,17
2022,94,0,23
2022,95,0,13
2022,96,0,13
2022,97,0,23
2022,98,0,17
2022,99,0,30
2022,100,0,33
2022,101,0,23
2022,102,0,23
2022,103,0,17
2022,104,0,43
2022,105,0,37
2022,106,0,17
2022,107,0,23
2022,108,0,20
2022,109,0,13
2022,110,0,17
2022,111,0,23
2022,112,0,17
2022,113,0,23
2022,114,0,13
2022,115,0,10
2022,116,0,3
2022,117,0,27
2022,118,0,27
2022,119,0,27
2022,120,0,27
2022,121,0,20
2022,122,0,10
2022,123,0,17
2022,124,0,13
2022,125,0,7
2022,126,0,7
2022,127,0,3
2022,128,0,13
2022,129,0,17
2022,130,0,7
2022,131,0,13
2022,132,0,17
2022,133,0,17
2022,134,0,17
2022,135,0,23
2022,136,0,20
2022,137,0,23
2022,138,0,13
2022,139,0,20
2022,140,0,23
2022,141,0,23
2022,142,0,23
2022,143,0,10
2022,144,0,7
2022,145,0,17
2022,146,0,10
2022,147,0,27
2022,148,0,30
2022,149,0,30
2022,150,0,20
2022,151,0,20
2022,152,0,13
2022,153,0,10
2022,154,0,10
2022,155,0,7
2022,156,0,10
2022,157,0,20
2022,158,0,17
2022,159,0,10
2022,160,0,10
2022,161,0,10
2022,162,0,17
2022,163,0,20
2022,164,0,27
2022,165,0,17
2022,166,0,30
2022,167,0,23
2022,168,0,27
2022,169,0,23
2022,170,0,23
2022,171,0,23
2022,172,0,17
2022,173,0,23
2022,174,0,23
2022,175,0,13
2022,176,0,27
2022,177,0,33
2022,178,0,20
2022,179,0,17
2022,180,0,13
2022,181,0,7
2022,182,0,13
2022,183,0,30
2022,184,0,17
2022,185,0,33
2022,186,0,7
2022,187,0,10
2022,188,0,27
2022,189,0,30
2022,190,0,13
2022,191,0,13
2022,192,0,20
2022,193,0,30
2022,194,0,10
2022,195,0,10
2022,196,0,17
2022,197,0,13
2022,198,0,10
2022,199,0,17
2022,200,0,40
2022,201,0,13
2022,202,0,30
2022,203,0,23
2022,204,0,27
2022,205,0,20
2022,206,0,13
2022,207,0,17
2022,208,0,23
2022,209,0,17
2022,210,0,7
2022,211,0,17
2022,212,0,23
2022,213,0,20
2022,214,0,20
2022,215,0,20
2022,216,0,17
2022,217,0,13
2022,218,0,7
2022,219,0,33
2022,220,0,40
2022,221,0,33
2022,222,0,27
2022,223,0,30
2022,224,0,17
2022,225,0,20
2022,226,0,13
2022,227,0,13
2022,228,0,10
2022,229,0,33
2022,230,0,37
2022,231,0,33
2022,232,0,23
2022,233,0,27
2022,234,0,17
2022,235,0,7
2022,236,0,7
2022,237,0,7
2022,238,0,7
2022,239,0,23
2022,240,0,17
2022,241,0,27
2022,242,0,27
2022,243,0,27
2022,244,0,20
2022,245,0,17
2022,246,0,37
2022,247,0,53
2022,248,0,47
2022,249,0,33
2022,250,0,27
2022,251,0,33
2022,252,0,23
2022,253,0,27
2022,254,0,20
2022,255,0,17
2022,256,0,7
2022,257,0,17
2022,258,0,13
2022,259,0,10
2022,260,0,10
2022,261,0,23
2022,262,0,23
2022,263,0,17
2022,264,0,10
2022,265,0,13
2022,266,0,23
2022,267,0,27
2022,268,0,13
2022,269,0,10
2022,270,0,33
2022,271,0,7
2022,272,0,17
2022,273,0,23
2022,274,0,3
2022,275,0,23
2022,276,0,33
2022,277,0,30
2022,278,0,27
2022,279,0,30
2022,280,0,27
